地域,可用区,机型,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
新加坡,新加坡二区,标准型SA2,1,4,0.25,0.25,0.25,121.8,121.8,1213.13,2192.4,3654
新加坡,新加坡二区,标准型SA2,2,4,0.33,0.33,0.33,158,158,1573.68,2844,4740
新加坡,新加坡二区,标准型SA2,2,8,0.51,0.51,0.51,243.6,243.6,2426.26,4384.8,7308
新加坡,新加坡二区,标准型SA2,4,8,0.68,0.68,0.68,324.8,324.8,3235.01,5846.4,9744
新加坡,新加坡二区,标准型SA2,4,16,1.02,1.02,1.02,487.2,487.2,4852.51,8769.6,14616
新加坡,新加坡二区,标准型SA2,8,16,1.35,1.35,1.35,649.6,649.6,6470.02,11692.8,19488
新加坡,新加坡二区,标准型SA2,8,32,2.03,2.03,2.03,974.4,974.4,9705.02,17539.2,29232
新加坡,新加坡二区,标准型SA2,16,32,2.71,2.71,2.71,1299.2,1299.2,12940.03,23385.6,38976
新加坡,新加坡二区,标准型SA2,16,64,4.06,4.06,4.06,1948.8,1948.8,19410.05,35078.4,58464
新加坡,新加坡二区,标准型SA2,32,64,5.41,5.41,5.41,2598.4,2598.4,25880.06,46771.2,77952
新加坡,新加坡二区,标准型SA2,48,96,8.12,8.12,8.12,3897.6,3897.6,38820.1,70156.8,116928
新加坡,新加坡二区,标准型SA2,64,128,10.83,10.83,10.83,5196.8,5196.8,51760.13,93542.4,155904
新加坡,新加坡二区,标准型SA2,80,160,13.54,13.54,13.54,6496,6496,64700.16,116928,194880
新加坡,新加坡三区,标准型SA2,90,480,27.92,27.92,27.92,13398,13398,133444.08,241164,401940
新加坡,新加坡二区,标准型SA2,128,256,21.66,21.66,21.66,10393.6,10393.6,103520.26,187084.8,311808
新加坡,新加坡二区,标准型SA2,160,320,27.07,27.07,27.07,12992,12992,129400.32,233856,389760
新加坡,新加坡二区,标准型SA2,180,464,34.86,34.86,34.86,16727.2,16727.2,166602.91,301089.6,501816
新加坡,新加坡三区,标准型SA2,180,960,55.84,55.84,55.84,26796,26796,266888.16,482328,803880
新加坡,新加坡一区,标准型S5,1,1,0.12,0.12,0.12,59,59,587.64,1062,1770
新加坡,新加坡一区,标准型S5,1,2,0.25,0.25,0.25,119,119,1185.24,2142,3570
新加坡,新加坡一区,标准型S5,1,4,0.36,0.36,0.36,174,174,1733.04,3132,5220
新加坡,新加坡一区,标准型S5,2,4,0.5,0.5,0.5,238,238,2370.48,4284,7140
新加坡,新加坡一区,标准型S5,2,8,0.72,0.72,0.72,348,348,3466.08,6264,10440
新加坡,新加坡一区,标准型S5,4,8,0.97,0.97,0.97,464,464,4621.44,8352,13920
新加坡,新加坡一区,标准型S5,4,16,1.45,1.45,1.45,696,696,6932.16,12528,20880
新加坡,新加坡一区,标准型S5,8,16,1.93,1.93,1.93,928,928,9242.88,16704,27840
新加坡,新加坡一区,标准型S5,8,32,2.9,2.9,2.9,1392,1392,13864.32,25056,41760
新加坡,新加坡一区,标准型S5,16,32,3.87,3.87,3.87,1856,1856,18485.76,33408,55680
新加坡,新加坡一区,标准型S5,16,64,5.8,5.8,5.8,2784,2784,27728.64,50112,83520
新加坡,新加坡一区,标准型S5,24,48,5.8,5.8,5.8,2784,2784,27728.64,50112,83520
新加坡,新加坡一区,标准型S5,24,96,8.7,8.7,8.7,4176,4176,41592.96,75168,125280
新加坡,新加坡一区,标准型S5,32,64,7.73,7.73,7.73,3712,3712,36971.52,66816,111360
新加坡,新加坡一区,标准型S5,32,128,11.6,11.6,11.6,5568,5568,55457.28,100224,167040
新加坡,新加坡一区,标准型S5,48,96,11.6,11.6,11.6,5568,5568,55457.28,100224,167040
新加坡,新加坡一区,标准型S5,48,192,17.4,17.4,17.4,8352,8352,83185.92,150336,250560
新加坡,新加坡一区,标准型S5,64,256,23.2,23.2,23.2,11136,11136,110914.56,200448,334080
新加坡,新加坡一区,标准型S3,1,1,0.12,0.06,0.04,59,59,587.64,1062,1770
新加坡,新加坡一区,标准型S3,1,2,0.25,0.12,0.08,119,119,1185.24,2142,3570
新加坡,新加坡一区,标准型S3,1,4,0.38,0.19,0.13,180,180,1792.8,3240,5400
新加坡,新加坡一区,标准型S3,2,4,0.5,0.25,0.17,238,238,2370.48,4284,7140
新加坡,新加坡一区,标准型S3,2,8,0.75,0.38,0.26,360,360,3585.6,6480,10800
新加坡,新加坡一区,标准型S3,4,8,1,0.5,0.34,480,480,4780.8,8640,14400
新加坡,新加坡一区,标准型S3,4,16,1.51,0.75,0.51,720,720,7171.2,12960,21600
新加坡,新加坡一区,标准型S3,8,16,2.01,1,0.68,960,960,9561.6,17280,28800
新加坡,新加坡一区,标准型S3,8,32,3.02,1.51,1.03,1440,1440,14342.4,25920,43200
新加坡,新加坡一区,标准型S3,12,24,3.01,1.51,1.02,1440,1440,14342.4,25920,43200
新加坡,新加坡一区,标准型S3,12,48,4.52,2.26,1.54,2160,2160,21513.6,38880,64800
新加坡,新加坡一区,标准型S3,16,32,4.02,2.01,1.37,1920,1920,19123.2,34560,57600
新加坡,新加坡一区,标准型S3,16,64,6.03,3.02,2.05,2880,2880,28684.8,51840,86400
新加坡,新加坡一区,标准型S3,24,48,6.02,3.01,2.05,2880,2880,28684.8,51840,86400
新加坡,新加坡一区,标准型S3,24,96,9.05,4.52,3.08,4320,4320,43027.2,77760,129600
新加坡,新加坡一区,标准型S3,32,64,8.03,4.02,2.73,3840,3840,38246.4,69120,115200
新加坡,新加坡一区,标准型S3,32,128,12.06,6.03,4.1,5760,5760,57369.6,103680,172800
新加坡,新加坡一区,标准型S3,48,96,12.05,6.02,4.1,5760,5760,57369.6,103680,172800
新加坡,新加坡一区,标准型S3,48,192,18.1,9.05,6.15,8640,8640,86054.4,155520,259200
新加坡,新加坡一区,标准型S3,64,128,16.06,8.03,5.46,7680,7680,76492.8,138240,230400
新加坡,新加坡一区,标准型S3,64,256,24.13,12.06,8.2,11520,11520,114739.2,207360,345600
新加坡,新加坡一区,标准型S3,80,320,30.16,15.08,10.26,14400,14400,143424,259200,432000
新加坡,新加坡一区,标准型S2,1,1,0.11,0.05,0.04,59,59,587.64,1062,1770
新加坡,新加坡一区,标准型S2,1,2,0.21,0.1,0.07,119,119,1185.24,2142,3570
新加坡,新加坡一区,标准型S2,2,4,0.42,0.21,0.14,238,238,2370.48,4284,7140
新加坡,新加坡一区,标准型S2,2,8,0.72,0.36,0.25,372,372,3705.12,6696,11160
新加坡,新加坡一区,标准型S2,4,8,0.96,0.48,0.33,496,496,4940.16,8928,14880
新加坡,新加坡一区,标准型S2,4,16,1.44,0.72,0.49,744,744,7410.24,13392,22320
新加坡,新加坡一区,标准型S2,8,16,1.93,0.96,0.66,992,992,9880.32,17856,29760
新加坡,新加坡一区,标准型S2,8,32,2.89,1.44,0.98,1488,1488,14820.48,26784,44640
新加坡,新加坡一区,标准型S2,12,24,2.89,1.45,0.98,1488,1488,14820.48,26784,44640
